title,news,img-url,category,summery,opinion
Balochistan:14 passengers off-loaded and killed by unidentified gunmen near Makran coastal highway,"QUETTA: On Thursday early morning, at least 14 passengers were offloaded from a passenger bus onMakran Coastal Highway and shot dead by unidentified gunmen, said Levies sources. According to sources, the armed men stopped the bus and offloaded some of the passengers after asking for their identities.”After scanning their identities and offloading, the gunmen shot dead 14 passengers.” The bodies were shifted to a nearby health facility in Ormara. Levies personnel reached the site of the incident and launched an investigation. ",https://www.newsone.tv/wp-content/uploads/2019/04/balochistan-2.jpg,Pakistan,"QUETTA: On Thursday early morning, at least 14 passengers were offloaded from a passenger bus onMakran Coastal Highway and shot dead by unidentified gunmen, said Levies sources.",negative
Balochistan:14 passengers off-loaded and killed by unidentified gunmen near Makran coastal highway,"QUETTA: On Thursday early morning, at least 14 passengers were offloaded from a passenger bus onMakran Coastal Highway and shot dead by unidentified gunmen, said Levies sources. According to sources, the armed men stopped the bus and offloaded some of the passengers after asking for their identities.”After scanning their identities and offloading, the gunmen shot dead 14 passengers.” The bodies were shifted to a nearby health facility in Ormara. Levies personnel reached the site of the incident and launched an investigation. ",https://www.newsone.tv/wp-content/uploads/2019/04/balochistan-2.jpg,Pakistan,"QUETTA: On Thursday early morning, at least 14 passengers were offloaded from a passenger bus onMakran Coastal Highway and shot dead by unidentified gunmen, said Levies sources.",negative
Foreign Secretary Sohail Mahmood calls on FM Qureshi after assuming office,"ISLAMABAD: Foreign Secretary Sohail Mahmood on Wednesday took charge of his office and called on Foreign Minister Shah Mahmood Qureshi in Islamabad. Qureshi congratulated the newly appointed foreign secretary on assuming charge and said Mahmood is a seasoned and experienced diplomat. “He has a long experience of serving at important positions including as the high commissioner to India,” Qureshi said. Mahmood in his remarks said that he will make the utmost efforts to perform his duties to the best of his capabilities. During the meeting, the two discussed the different contours of foreign policy. Mahmood who previously served as Pakistan’s High Commissioner to India replaces Tehmina Janjua, who retired on April 16 after serving in the position for two years. ",https://www.newsone.tv/wp-content/uploads/2019/04/SM-Qureshi-Sohail-Mehmood.jpg,Pakistan,"“He has a long experience of serving at important positions including as the high commissioner to India,” Qureshi said.",positive
PM Imran launches federal government Naya Pakistan Housing Scheme,"ISLAMABAD: On Wednesday, Prime Minister Imran Khan officially launched the federal government’s Naya Pakistan Housing Scheme. The scheme was launched at an event held in Islamabad where Housing and Works Minister Tariq Bashir Cheema, Finance Minister Asad Umar and various other government officials were also present. According to Radio Pakistan, one hundred and thirty five thousand houses will be built in the first phase of what is one of federal government’s flagship projects.  In the initial phase of the scheme, 110,000 housing units will be constructed in Balochistan for the fishermen of Gwadar, whereas 25,000 units will be built in Islamabad for government employees. ",https://www.newsone.tv/wp-content/uploads/2019/04/pm-imran-khan.png,Pakistan,"The scheme was launched at an event held in Islamabad where Housing and Works Minister Tariq Bashir Cheema, Finance Minister Asad Umar and various other government officials were also present.",negative
Four police officers arrested after toddler killed in Karachi firing,"KARACHI: Four police officers were arrested on Wednesday after a 19-month-old boy was killed in crossfire near Safoora Chowrangi at Karachi’s University Road, in yet another incident of alleged police negligence during a shootout with suspected criminals.  The toddler, Ahsan, died when a bullet entered his chest and exited through his back, the post-mortem report revealed. The bullet also grazed and injured the child’s father, Kashif Raja, who said his son was killed by a bullet fired by a policeman while the family were climbing into a rickshaw near Safoora Chowrangi within the limits of Sachal Police Station on Tuesday evening.  The child’s funeral prayers were offered earlier today, in Block 8 of Gulistan-e-Johar. ",https://www.newsone.tv/wp-content/uploads/2019/04/karachi-ahsan.jpg,Pakistan,"The bullet also grazed and injured the child’s father, Kashif Raja, who said his son was killed by a bullet fired by a policeman while the family were climbing into a rickshaw near Safoora Chowrangi within the limits of Sachal Police Station on Tuesday evening.",negative
"Rain across country kills 39 people, 135 injured","LAHORE/PESHAWAR/QUETTA: On Wednesday, at least 39 people were killed and 135 people were injured as the rain continued to wreak havoc in Punjab, Balochistan and Khyber Pakhtunkhwa, the National Disaster Management Authority said. At least 80 houses have been damaged as torrential rain continued to play havoc across the country, the National Disaster Management Authority added. In Faisalabad, the heavy rain spell caused interrupted power supply, after technical faults occurred in 110 electricity supply feeders, a FESCO spokesman told APP. Areas were among those which suffered a power shortage, he said, adding field staff worked actively and restored electricity supply from all feeders after rain. In the last 24 hours, the MET office has recorded 57mm rain in Islamabad, 24mm rain in Rawalpindi, 43mm rain in Lahore, 40mm in Gujranwala and 16mm in Peshawar. According to the MET office, more widespread dust-thunderstorm and rain accompanied by gusty winds are expected in Punjab, Islamabad, Kashmir and at scattered places in KP. ",https://www.newsone.tv/wp-content/uploads/2019/04/h-7.jpg,Pakistan,"At least 80 houses have been damaged as torrential rain continued to play havoc across the country, the National Disaster Management Authority added.",negative
19 month old boy dies in alleged police firing at Karachi,"KARACHI: A 19 month old boy died on Tuesday in alleged shootout between the Police and dacoits on University Road, Karachi. Parents, along with their son, were travelling in a rickshaw when they came across shootout between police and dacoits when all of a sudden the boy’s chest started bleeding. He was immediately taken to nearest hospital where he passed away. DIG East Amir Farooq said the suspects have been taken into custody and are being investigated, adding that the officers were allegedly chasing dacoits on the run. Sindh Chief Minister Murad Ali Shah, while taking notice of the incident, offered his condolences to the family and said incidents like this are unfortunate. ",https://www.newsone.tv/wp-content/uploads/2019/04/Ambulance.jpg,Pakistan,"KARACHI: A 19 month old boy died on Tuesday in alleged shootout between the Police and dacoits on University Road, Karachi.",neutral
"No compromise on constitution, law: Afridi","ISLAMABAD: Minister of State for Interior Shehryar Khan Afridi said on Tuesday no compromise of any kind on constitution and law and making efforts where no one would be above the law. Addressing a press conference in federal capital, the minister said his visit of Quetta, along with Special Assistant to Prime Minister Syed Zulfi Bukhari, was successful and the Hazara community agreed to call-off the sit-in after dialogues. He said will recompense every oppression suffered by the Hazara community. He said people of Balochistan possess an exemplary patriotic affection. Afridi said protection of citizens’ life and property is responsibility of state and outfits being cause of infamy will be made an example of. The minister said determined to implement National Action Plan (NAP) and a committee comprised of experts has been formed for NAP. He said will ensure efforts have been taken for the implementation of NAP. Afridi said no one will be discriminated in new Pakistan and the government has taken revolutionary steps for making positive identity of the country. Afridi said introduced new visa policy along with reforms in foreign policy. He said we have to prove that we are a decent nation through our character. In a message to Pakistani youth, Afridi said to give respect to their foreign guests. ",https://www.newsone.tv/wp-content/uploads/2019/03/Shehryar-Afridi.jpg,Pakistan,Afridi said no one will be discriminated in new Pakistan and the government has taken revolutionary steps for making positive identity of the country.,positive
Will govt act seriously upon declaring terrorism corruption: Bilawal,"QUETTA: Pakistan People’s Party (PPP) Chairperson Bilawal Bhutto Zardari said on Tuesday will government act seriously upon declaring terrorism corruption and the terrorists have been put in rest houses and granted immunity. Speaking to the media after visiting families of Hazarganji blast victims at Quetta, Bilawal said it is unfortunate that after so much lives have been lost, the state is unable to decide whether it is with terrorists or the martyrs. Bilawal asked, “the government has to decide. For how long will they continue with their double standards?” adding, “no one can fight extremism alone but we have to decide for the future. We need to fight this extremist mindset. When we ask for justice we are called an enemy of the state. When I speak against banned organisations, I’m branded an enemy of the state.” Bilawal questioned, “are we the enemy of the state or are those banned organisations that are killing our children?” He said if the rulers want to mainstream anyone, it should be the victims of terrorism, not banned outfits. Bilawal said he comes from a family of martyrs and will not sit quietly until he eliminated terrorism from the country. He said, “My entire political career will be for eradicating terrorism so that we can live peacefully in this country. We have to fight terrorism together and we have to protect the oppressed.” ",https://www.newsone.tv/wp-content/uploads/2019/04/Bilawal-Bhutto.jpg,Pakistan,Bilawal said he comes from a family of martyrs and will not sit quietly until he eliminated terrorism from the country.,neutral
"11 dead, 9 injured in Mastung traffic accident","MUSTANG: Eleven persons died in a horrific traffic accident on Tuesday at Balochistan’s Mastung district near Lakpaas while nine other were injured. A truck and a passenger wagon collided in the Ganjadori area of Mastung, according to Levies personnel. The wagon was completely damaged as truck, which slipped on the slippery road, collided with it. The injured were immediately taken to Nawab Ghous Bakhsh Raisani Hospital and later to the Civil Hospital Quetta for medical attention. ",https://www.newsone.tv/wp-content/uploads/2019/04/mustung.jpg,Pakistan,MUSTANG: Eleven persons died in a horrific traffic accident on Tuesday at Balochistan’s Mastung district near Lakpaas while nine other were injured.,negative
